year,city_name,city_code,index_aggregate,coverage_breadth,usage_depth,payment,insurance,monetary_fund,investment,credit,credit_investigation,digitization_level,city_norm,source_name_version
2011,七台河市,2309,43.65,40.56,48.54,26.12,42.49,,,53.58,,44.93,七台河,year14
2011,三亚市,4602,66.25,70.23,53.27,84.3,83.94,,,37.0,,76.65,三亚,year14
2011,三明市,3504,60.87,69.39,65.45,73.93,52.92,,,69.73,,24.37,三明,year14
2011,三沙市,4603,18.56,13.57,13.95,0.0,17.69,,,,,43.41,三沙,year14
2011,三门峡市,4112,52.02,52.82,27.07,46.75,20.31,,,27.69,,94.73,三门峡,year14
2011,上海市,3100,81.18,97.73,85.24,100.0,76.43,,,87.27,,19.2,上海,year14
2011,上饶市,3611,38.28,26.38,67.22,69.6,51.11,,,73.67,,24.98,上饶,year14
2011,东莞市,4419,78.29,87.2,74.52,65.6,55.73,,,83.36,,55.76,东莞,year14
2011,东营市,3705,61.31,76.42,47.22,48.48,34.33,,,52.46,,37.01,东营,year14
2011,中卫市,6405,23.1,24.42,19.17,0.0,9.14,,,25.49,,25.9,中卫,year14
2011,中山市,4420,83.1,90.65,81.76,76.07,71.47,,,86.69,,60.6,中山,year14
2011,临夏回族自治州,6229,17.94,1.89,1.94,1.1,6.81,,,0.0,,100.0,临夏回族,year14
2011,临汾市,1410,41.03,43.73,20.88,38.62,22.09,,,18.39,,68.75,临汾,year14
2011,临沂市,3713,48.51,38.09,54.95,46.65,1.42,,,78.21,,71.22,临沂,year14
2011,临沧市,5309,30.91,5.1,53.47,41.47,50.56,,,56.02,,75.14,临沧,year14
2011,丹东市,2106,49.06,57.03,47.29,69.27,56.41,,,41.03,,25.92,丹东,year14
2011,丽水市,3311,74.03,82.72,83.19,93.03,70.59,,,87.35,,28.71,丽水,year14
2011,丽江市,5307,56.21,40.56,70.0,61.93,63.83,,,73.47,,82.84,丽江,year14
2011,乌兰察布市,1509,25.8,23.07,35.77,17.97,42.7,,,34.87,,16.69,乌兰察布,year14
2011,乌海市,1503,57.3,78.36,37.2,63.27,100.0,,,8.08,,24.31,乌海,year14
2011,乌鲁木齐市,6501,67.95,79.31,53.61,48.75,68.51,,,47.94,,56.49,乌鲁木齐,year14
