year,prov_name,prov_code,index_aggregate,coverage_breadth,usage_depth,payment,insurance,monetary_fund,investment,credit,credit_investigation,digitization_level,province_norm
2011,北京市,11,79.41,97.53,72.23,79.4,59.48,,,76.75,,32.59,北京
2011,天津市,12,60.58,69.37,53.33,55.52,75.74,,,43.73,,44.72,天津
2011,河北省,13,32.42,18.46,44.19,24.36,24.83,,,54.49,,57.15,河北
2011,山西省,14,33.41,28.94,21.61,19.48,20.25,,,22.42,,69.57,山西
2011,内蒙古自治区,15,28.89,24.65,30.27,27.51,49.83,,,22.42,,40.35,内蒙古
2011,辽宁省,21,43.29,44.96,44.64,49.24,48.98,,,42.31,,35.33,辽宁
2011,吉林省,22,24.51,23.75,24.04,23.89,23.85,,,24.13,,27.86,吉林
2011,黑龙江省,23,33.58,21.12,36.28,33.74,39.37,,,35.28,,69.83,黑龙江
2011,上海市,31,80.19,98.85,86.24,100.0,72.82,,,90.3,,7.58,上海
2011,江苏省,32,62.08,66.7,79.22,80.77,78.49,,,79.35,,15.71,江苏
2011,浙江省,33,77.39,85.53,93.52,96.52,100.0,,,90.48,,21.22,浙江
2011,安徽省,34,33.07,20.2,55.58,49.04,40.63,,,62.54,,34.66,安徽
2011,福建省,35,61.76,63.28,68.51,77.26,46.12,,,76.87,,44.5,福建
2011,江西省,36,29.74,13.97,54.82,56.7,46.6,,,58.04,,36.21,江西
2011,山东省,37,38.55,33.67,47.16,44.24,9.07,,,63.38,,39.01,山东
2011,河南省,41,28.4,13.54,38.11,38.37,0.25,,,53.88,,59.81,河南
2011,湖北省,42,39.82,35.17,53.56,69.15,44.82,,,55.47,,30.18,湖北
2011,湖南省,43,32.68,15.33,60.73,53.36,51.76,,,65.29,,39.02,湖南
2011,广东省,44,69.48,63.41,80.97,59.96,50.69,,,95.96,,68.66,广东
2011,广西壮族自治区,45,33.89,19.98,44.06,52.17,42.03,,,44.0,,61.33,广西
2011,海南省,46,45.56,30.96,57.74,60.56,61.02,,,56.06,,71.63,海南
2011,重庆市,50,41.89,40.38,47.46,59.24,57.04,,,42.14,,36.77,重庆
2011,四川省,51,40.16,29.02,58.56,45.49,73.61,,,53.74,,43.5,四川
2011,贵州省,52,18.47,3.06,27.51,49.21,47.38,,,16.79,,52.92,贵州
